,Selfies
2915,C C C C C =Branch1 C =O C =C Ring1 #Branch1 C C C@@H1 C@@H1 Ring1 O C@@H1 C C Branch1 P C Branch1 #Branch1 C =Branch1 C =O C O C C C@@H1 Ring1 =N Ring1 =Branch2 C@@H1 Branch1 C O O Ring1 =C
1444,C C C Branch1 C Br Branch1 Ring1 C C C =Branch1 C =O N C =Branch1 C =O N C Branch1 C C =O
2377,O =C Branch1 S C C N C C N Branch1 Ring2 C C O C C Ring1 =Branch2 N C =C C =C C =C Ring1 =Branch1 S C =C C =C Branch1 =Branch2 C Branch1 C F Branch1 C F F C =C Ring1 #Branch2 Ring2 Ring1 C
7613,N =C C C =C C =C C =C Ring1 =Branch1 N Branch1 =Branch1 C Branch1 C N =O C =C C =C C =C Ring1 =Branch1 Ring2 Ring1 C
197,C N Branch1 C C C C =C C =C Branch2 Ring1 =Branch1 C S C C N C NH1 C =C C =Ring1 Branch1 C C =C C =C C =C Ring1 =Branch1 O Ring2 Ring1 =Branch1
6393,C N C C O C@H1 Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1 C Ring2 Ring1 C
7012,C C Branch1 C C O C@H1 C C@H1 C@H1 C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C@@ Ring1 #Branch1 Branch1 C C C@@ Ring1 =N Branch1 C F C@H1 Branch1 C O C C@@ Ring2 Ring1 Ring1 Branch1 C C C@ Ring2 Ring1 #Branch1 Branch1 #Branch1 C =Branch1 C =O C O O Ring2 Ring1 #C
4730,C C =Branch1 C =O C@H1 C C C C C C@@H1 Branch1 C O C C C@H1 Ring1 Ring1 C C C@ Ring1 =Branch1 Branch1 C C C Ring1 N C C C@@ Ring1 S Ring2 Ring1 Ring1 C
3362,C O C C =C C Branch1 =N C C@H1 Ring1 =Branch1 C Branch1 C C Branch1 C C O C C C =C C =C Branch1 C O C =C Ring1 #Branch1 C Ring1 P Branch1 N C C N Ring1 =N C C C C Ring1 Ring1 C@@H1 Ring2 Ring1 N O Ring1 N
6128,C C Branch1 C C S C@@H1 C@@H1 Branch1 S N C =Branch1 C =O C O C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O N Ring1 S C@H1 Ring2 Ring1 Ring2 C =Branch1 C =O O
5775,C O /N =C Branch2 Ring2 =Branch2 /C =Branch1 C =O N C C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 O /C =C /C S C =N C =Ring1 Branch1 C C S C Ring2 Ring1 Ring2 Ring1 P C =C S C Branch1 C N =N Ring1 =Branch1
2544,O C C O C C O C C N C C N Branch2 Ring1 #Branch1 C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C Branch1 C Cl C =C Ring1 #Branch1 C C Ring2 Ring1 Ring2
3317,C O /N =C Branch2 Ring2 P /C =Branch1 C =O N C C =Branch1 C =O N C Branch1 S C =Branch1 C =O O C@@H1 Branch1 C C O C Branch1 C C =O =C Branch1 Branch2 C O C Branch1 C N =O C S C@@H1 Ring2 Ring1 #Branch1 Ring2 Ring1 Ring2 C =C C =C O Ring1 Branch1
4764,C C Branch1 C C S C@@H1 C@H1 Branch2 Ring1 C N C =Branch1 C =O C C C C Branch1 C N C =Branch1 C =O O C =Branch1 C =O N Ring1 S C@H1 Ring2 Ring1 Ring2 C =Branch1 C =O O
439,C C Branch1 C C =O
5677,C C O C Branch1 Branch1 C S Ring1 Branch1 C N C C C Ring1 Branch2 C C Ring1 =Branch1
948,C C N Branch1 C C C =Branch1 C =O O C =C C =C C Branch1 #Branch2 C Branch1 C C N Branch1 C C C =C Ring1 O
4534,C O N =C Branch2 Ring2 =Branch2 C =Branch1 C =O N C C =Branch1 C =O N Branch2 Ring1 =Branch1 O C C =Branch1 C =O O C C =Branch1 C =O O C Branch1 C C Branch1 C C C C Ring2 Ring1 C C C =C S C Branch1 C N =N Ring1 =Branch1
7441,C O C =C C =C C Branch1 #Branch1 C C@H1 Branch1 C C N =C Ring1 #Branch2
7308,C N C@H1 Branch1 N C S C C Branch1 C F Branch1 C F F N C =C C Branch1 C Cl =C Branch1 =Branch2 S Branch1 C N =Branch1 C =O =O C =C Ring1 O S Ring2 Ring1 =Branch1 =Branch1 C =O =O
2293,N C =Branch1 C =O N C C N C C N Branch2 Ring1 Ring1 C =C C =C C Branch1 =Branch2 C Branch1 C F Branch1 C F F =C Ring1 #Branch2 C C Ring1 S
4858,C N C C C C C =Branch1 C =O C Ring1 #Branch1 C =C C =C C =C Ring1 =Branch1 Cl
1840,C N C C N Branch2 Ring2 O /C =C \N =C C N =C Branch1 #Branch2 C =C C =C C =C Ring1 =Branch1 Cl C =C C Branch1 =Branch1 N+1 =Branch1 C =O O-1 =C C =C Ring1 =Branch2 N Ring2 Ring1 Branch1 C Ring2 Ring1 Branch2 =O C C Ring2 Ring1 S
2907,C C C C Branch1 C N C@@H1 Ring1 Branch1 C N Branch2 Ring1 P C =N C =C Branch1 =Branch1 C =C Ring1 =Branch1 F C =Branch1 C =O C Branch1 =Branch1 C =Branch1 C =O O =C N Ring1 =N C C C Ring1 Ring1 C Ring2 Ring1 #Branch2
3054,C C C C@H1 C C@@H1 Branch2 Ring1 P C =Branch1 C =O N C@H1 Branch1 =Branch1 C@H1 Branch1 C C Cl C@@H1 O C@@H1 Branch1 Ring1 S C C@@H1 Branch1 C O C@@H1 Branch1 C O C@@H1 Ring1 #Branch2 O N Branch1 C C C Ring2 Ring1 Branch2
3,C C N C =Branch1 #C =N C C S C C =N C =C C =C Ring1 =Branch1 Br N C #N
4169,C C =Branch1 C =O O C C =Branch1 C =O C Branch1 C O C C C C C C C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C Ring1 N Branch1 C F C Branch1 C O C C Ring2 Ring1 C Ring2 Ring1 =Branch1 C
4861,C N C@@H1 C@H1 Branch1 C O C@@H1 Branch2 Ring2 C O C@H1 C@H1 Branch1 C N C C@H1 Branch1 C N C@@H1 Branch1 #C O C@H1 O C@H1 Branch1 Ring1 C N C C C@H1 Ring1 Branch2 N C@H1 Ring2 Ring1 C O O C C@ Ring2 Ring1 O Branch1 C C O
1736,C N Branch1 C C C C /C =C /C =C C =C C =C Ring1 =Branch1 C S C =C C =C C =C Ring1 =Branch1 Ring1 #C
3049,C C C C@H1 Branch1 C C C Branch1 Branch1 C C S C C =Branch1 C =O N C =Branch1 C =S N C Ring1 N =O
2097,C C@@H1 Branch1 C O C@H1 C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 Branch2 C O C Branch1 C N =O S C@H1 Ring1 S Ring1 =N
4229,C C Branch1 C C O C C C C C C Branch1 C F C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C Ring1 =N Branch1 C Cl C Branch1 C Cl C C Ring2 Ring1 Ring1 Branch1 C C C Ring2 Ring1 #Branch1 Branch1 #Branch1 C =Branch1 C =O C O O Ring2 Ring1 #C
7370,C O C C N C C C@@ C =C C =C C Branch1 C O =C Ring1 #Branch1 O C@H1 Ring1 #Branch2 C =Branch1 C =O C C C@@ Ring1 #C Branch1 C O C@H1 Ring2 Ring1 Ring2 C Ring1 S
4548,C O N =C Branch2 Ring1 N C =Branch1 C =O N C C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C C S C Ring1 N Ring1 =Branch2 C =C S C Branch1 C N =N Ring1 =Branch1
2257,F C Branch1 C F Branch1 C F C Cl
4666,C C C C C =Branch1 C =O C =C Ring1 #Branch1 C C C C Ring1 O C Branch1 C O C C Branch1 Ring1 C =O C Branch1 #Branch1 C =Branch1 C =O C O C C C Ring1 S Ring1 O
4046,C C =C C =C Branch2 Ring1 P S C@@H1 Branch1 C C C =Branch1 C =O N Branch1 C C C C =N C Branch1 #Branch2 C =C C =C C =C Ring1 =Branch1 Cl =N O Ring1 N C =C Ring2 Ring1 #Branch2
151,C C =C Branch1 C O C =C C =C Ring1 #Branch1 C =Branch1 C =O N C@@H1 Branch1 O C S C =C C =C C =C Ring1 =Branch1 C@@H1 Branch1 C O C N C C C C C C C Ring1 =Branch1 C C@H1 Ring1 #Branch2 C =Branch1 C =O C N C Branch1 C C Branch1 C C C
6149,C C Branch1 C C S C@H1 C@H1 Branch2 Ring2 =Branch1 N C =Branch1 C =O C@@H1 Branch2 Ring1 Branch1 C =Branch1 C =O O C =C C =C C =Branch1 Ring2 =C Ring1 =Branch1 C C C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O N Ring2 Ring1 O C@@H1 Ring2 Ring1 #C C =Branch1 C =O O
195,C N Branch1 C C C C =C C =C Branch2 Ring1 =N C S C C N C NH1 C =C Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 C =Ring1 N N+1 =Branch1 C =O O-1 O Ring2 Ring1 =Branch2
2468,O =C N Branch1 =N C Branch1 C O C Branch1 C Cl Branch1 C Cl Cl C N C Ring1 O Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1
1441,C C C =Branch1 C =O C =C C =C C =Branch1 Ring2 =C Ring1 =Branch1 N Branch1 O C C Branch1 C C N Branch1 C C C C =C C =C C =C Ring1 =Branch1 S Ring1 P
1575,C C C C@ Branch1 N C =C C =C C Branch1 C O =C Ring1 #Branch1 C C N Branch1 C C C C@@H1 Ring1 =C C
3285,C N C@@H1 Branch1 C C C =Branch1 C =O C =C C =C Branch1 Ring1 O C C =C Ring1 Branch2
3399,C O C@H1 O C O C Branch1 #Branch2 C N C C C C C Ring1 =Branch1 C Branch1 C O C C@@H1 Branch1 Branch1 C@@H1 Ring1 #C C C@H1 Ring2 Ring1 Ring1 Ring1 #C
167,C O C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O C =C Branch1 C O C =C Branch1 N C Branch1 C O =C Ring1 Branch2 C Ring1 =N =O C C Branch1 C O Branch1 #Branch1 C =Branch1 C =O C O C C Ring1 S O C C C Branch1 C N C Branch1 C O C Branch1 C C O Ring1 =Branch2
1846,C N C C N Branch2 Ring1 =Branch2 C =N C =C C Branch1 C F =C C =C Ring1 #Branch1 C C =C C =C C =C Ring1 =Branch1 Ring1 S C C Ring2 Ring1 =Branch1
3697,N C@H1 Branch2 Ring1 #C C =Branch1 C =O N C C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 C Cl C S C@@H1 Ring1 =N Ring1 #Branch2 C =C C =C C =C Ring1 =Branch1
2483,O =C N C N Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C Ring1 O C C N Branch2 Ring1 =N C C C C Branch1 N C =C C =C Branch1 C F C =C Ring1 #Branch1 C =C C =C Branch1 C F C =C Ring1 #Branch1 C C Ring2 Ring1 Branch2
914,F C =C C =C Branch2 Ring1 =Branch2 C N C Branch1 =Branch2 C@H1 C N C C O Ring1 =Branch1 =N C =C C =C C =C Ring1 =Branch1 Ring1 #C C =C Ring2 Ring1 =Branch1
5029,C N C C C C C@H1 Ring1 =Branch1 C C N C =C C =C C =C Ring1 =Branch1 S C =C C =C Branch1 =Branch1 S@@+1 Branch1 C C O-1 C =C Ring1 =Branch2 Ring1 P
2558,O C =C C =C C =C Ring1 =Branch1 O C C Branch1 C O C C C Branch1 C O C Branch1 Ring2 C Ring1 =N N Branch1 Branch2 C C C C C Ring1 Ring2 C C C Ring2 Ring1 Branch1 Ring2 Ring1 C Ring1 =N
6057,C C =Branch1 C =O C@@H1 C C C@@H1 C@H1 C C C@@H1 C C@H1 Branch1 C O C C C@@ Ring1 #Branch1 Branch1 C C C@@H1 Ring1 N C =Branch1 C =O C C@@ Ring2 Ring1 Ring2 Ring1 P C
2708,C C =Branch1 C =O O C Branch1 =Branch1 C Branch1 C C =O C C C@H1 C@@H1 C C@H1 Branch1 C C C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C Ring1 =N Branch1 C F C@@H1 Branch1 C O C C Ring2 Ring1 Ring1 Ring2 Ring1 =Branch2 C
1308,C C Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 N N
3138,C C C@H1 Branch1 C O C Branch1 O C C@H1 Branch1 C C N Branch1 C C C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1
7196,C C C@@H1 C C@H1 Branch2 Ring1 N O C =Branch1 C =O C Branch1 C O Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1 C C@H1 Branch1 C C N+1 Ring2 Ring1 Branch2 C C C C Ring1 Branch1
4780,C C C =Branch1 C =O O C C =Branch1 C =O C@@ O C Branch1 C C Branch1 C C O C@@H1 Ring1 #Branch1 C C@H1 C@@H1 C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C@ Ring1 #Branch1 Branch1 C C C@@ Ring1 =N Branch1 C F C@@H1 Branch1 C O C C@@ Ring2 Ring1 Ring1 Ring2 Ring1 O C
1343,C C Branch1 C C S C C Branch1 #C N C =Branch1 C =O C C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O N Ring1 #C C Ring2 Ring1 Ring1 C =Branch1 C =O O
3950,C O C =C C =C Branch1 #Branch1 C =C Ring1 =Branch1 O C C N Branch2 Ring2 C C =Branch1 C =O C C N C =Branch1 C =O N Branch1 S C =C C =C Branch1 =Branch1 C Branch1 C C C C =C Ring1 =Branch2 C Ring1 #C =O C C Ring2 Ring1 =N
2995,C C C C =Branch1 C =O O C Branch1 N C =Branch1 C =O C O C Branch1 C C =O C C C@H1 C@@H1 C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C Ring1 =N Branch1 C F C@@H1 Branch1 C O C C Ring2 Ring1 Ring1 Ring2 Ring1 =N C
7174,C C O C =Branch1 C =O O C@ Branch1 =N C =Branch1 C =O C O C =Branch1 C =O C C C C C@H1 C@H1 C C C =C C =Branch1 C =O C =C C@@ Ring1 #Branch1 Branch1 C C C@H1 Ring1 N C@H1 Branch1 C O C C@ Ring1 P Ring2 Ring1 N C
1210,C C =Branch1 C =O C@H1 C C C@H1 C@@H1 C C@@H1 Branch1 C O C C C Ring1 Ring1 C C C@ Ring1 =Branch1 Branch1 C C C@H1 Ring1 N C C C@ Ring2 Ring1 Ring1 Ring1 S C
3135,C C C@H1 Branch1 C C N C =C C =C Branch1 C I C Branch1 Branch2 N C@@H1 Branch1 C C C C =C Ring1 N
3108,C C O C@H1 C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O N Branch1 C C C =C C =C C =C Ring1 =Branch1 Ring1 P
7145,C C N Branch1 Ring1 C C C C O C =Branch1 C =O C@H1 Branch1 S C C =C C =C C =C C =C C Ring1 =Branch1 =C Ring1 #Branch2 C C@H1 C C C O Ring1 Branch1
310,C =C C #N
7427,C O C =C C =C C =C Branch1 Branch2 NH1 C Ring1 Branch1 =C Ring1 =Branch2 C@H1 C C@@H1 C@@H1 Branch2 Ring2 =C C C@@H1 Branch2 Ring1 #Branch2 O C =Branch1 C =O C =C C Branch1 Ring1 O C =C Branch1 Ring1 O C C Branch1 Ring1 O C =C Ring1 N C@H1 Branch1 Ring1 O C C@@H1 Ring2 Ring1 #Branch1 O C Branch1 C C =O C N Ring2 Ring1 #C C C Ring2 Ring2 =Branch1
4931,C C@@H1 C C@H1 C C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C@ Ring1 #Branch1 Branch1 C C C@@ Ring1 =N Branch1 C Cl C@@H1 Branch1 C F C C@ Ring2 Ring1 Ring1 Branch1 C C C@H1 Ring2 Ring1 #Branch1 C =Branch1 C =O C O
1800,C N C =Branch1 C =O C C Branch1 C C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C Ring1 =N =O
2132,C C@H1 C@H1 Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 O C C N Ring1 N C
6930,C C =Branch1 C =O O C =C C =C C =C Ring1 =Branch1 O C@H1 C@H1 Branch1 #Branch1 O C Branch1 C C =O C =C C@H1 C@H1 Branch1 Ring2 C Ring1 #C N Branch1 C C C C C C@@ Ring2 Ring1 Ring2 Ring1 =Branch2 Ring1 P
1623,C C N C C Branch1 C O C =C C =C C Branch1 C O =C Ring1 #Branch1
4505,C O C Branch1 O N C =Branch1 C =O C S C C #N C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 O C S C =N N =N N Ring1 Branch1 C C S C Ring1 P Ring2 Ring1 N
7123,C C C C@H1 C C@H1 Branch2 Ring1 P C =Branch1 C =O N C@@H1 Branch1 =Branch1 C@@H1 Branch1 C C Cl C@H1 O C@@H1 Branch1 Ring1 S C C@H1 Branch1 C O C@H1 Branch1 C O C@@H1 Ring1 #Branch2 O N Branch1 C C C Ring2 Ring1 Branch2
3341,C O C =Branch1 C =O C@@H1 C Branch1 C O =C C Branch1 P N C =C C =C C Branch1 =Branch1 N+1 =Branch1 C =O O-1 =C Ring1 =Branch2 =C C@@H1 Ring1 P C
522,C C C C =N N =N N Ring1 Branch1 C C Ring1 #Branch2
4621,N C C O C Branch2 Ring1 Ring2 O C C Branch1 C N C C Branch1 C N C Branch1 C O C Ring1 =Branch2 O C Branch1 C N C Branch1 C O C Ring2 Ring1 Ring1 O
2426,O =C Branch1 N C =C C =C Branch1 C F C =C Ring1 #Branch1 C C C N Branch2 Ring1 #Branch1 C C C N C =Branch1 C =O NH1 C =C C Branch1 C Cl =C C =C Ring1 #Branch1 Ring1 O C C Ring2 Ring1 Ring2
6493,C O C@@ Branch2 Ring1 =Branch2 N C =Branch1 C =O C@@H1 Branch1 =Branch1 C =Branch1 C =O O C =C C =C Branch1 C O C =C Ring1 #Branch1 C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 O C S C =N N =N N Ring1 Branch1 C C O C@H1 Ring1 P Ring2 Ring2 C
6495,C O C@@ C =C C@ Branch1 =N C C@@H1 Ring1 =Branch1 C Branch1 C C Branch1 C C O C@H1 C C =C C =C Branch1 C O C =C Ring1 #Branch1 C@@ Ring1 P Branch1 N C C N Ring1 =N C C C C Ring1 Ring1 C@H1 Ring2 Ring1 N O Ring1 N
985,C N Branch1 C C C C C C Branch1 N C =C C =C Branch1 C F C =C Ring1 #Branch1 O C C =C C Branch1 Ring1 C #N =C C =C Ring1 Branch2 Ring2 Ring1 C
1394,C C C C Branch1 S O C =Branch1 C =O C C C C =Branch1 C =O N Ring1 =Branch1 C C Branch1 C C Branch1 C C C Ring1 P
1419,C C C =Branch1 C =O N Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C Branch1 #Branch1 C =Branch1 C =O O C C C N Branch1 O C C C =C C =C C =C Ring1 =Branch1 C C Ring2 Ring1 C
2706,C C =Branch1 C =O N C C N Branch2 Ring2 #C C =C C =C Branch2 Ring2 Ring1 O C C@H1 C O C Branch1 =Branch2 C N C =C N =C Ring1 Branch1 Branch1 =N C =C C =C Branch1 C Cl C =C Ring1 #Branch1 Cl O Ring2 Ring1 Ring1 C =C Ring2 Ring1 O C C Ring2 Ring1 P
6217,C C C C O C =Branch1 C =O C =Branch1 C =O C@H1 C@@H1 Branch1 C C C C@H1 C@@H1 C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C@ Ring1 #Branch1 Branch1 C C C@@H1 Ring1 =N C@H1 Branch1 C O C C@@ Ring2 Ring1 C Ring2 Ring1 =Branch1 C
3066,C C N Branch1 Ring1 C C C =Branch1 C =O N C@H1 C C@H1 C =C C =C C NH1 C =C Branch1 =Branch1 C Ring1 =Branch2 =Ring1 Branch1 C C@@H1 Ring1 N N Branch1 C C C Ring1 P
4485,C N C C Branch1 C O C Branch2 Ring2 C O C C Branch1 C N C C Branch1 C N C Branch1 #C O C O C Branch1 Ring1 C N C C C Ring1 Branch2 N C Ring2 Ring1 C O O C C Ring2 Ring1 O Branch1 C C O
3083,C C N C C N Branch2 Ring2 S C =Branch1 C =O N C@H1 Branch2 Ring1 #C C =Branch1 C =O N C C =Branch1 C =O N C@H1 Ring1 Branch1 S C Branch1 C C Branch1 C C C@@H1 Ring1 #Branch1 C =Branch1 C =O O C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O C Ring2 Ring1 P =O
1849,C N C C N Branch2 Ring1 Branch1 C =N C =C C =C C =C Ring1 =Branch1 S C =N C =C N Ring1 Branch1 Ring1 =C C C Ring2 Ring1 Ring2
7173,C C O C =Branch1 C =O O C@H1 Branch1 C C O C =Branch1 C =O C@H1 N C =Branch1 C =O C@@H1 Branch1 N N =C N C C C C C C Ring1 #Branch1 C@H1 Ring1 =C S C Ring1 P Branch1 C C C
2325,N C C C Branch2 Ring1 Ring2 O C =C C =C Branch1 =Branch2 C Branch1 C F Branch1 C F F C =C Ring1 #Branch2 C =C C =C C =C Ring1 =Branch1
337,C N C C C =C C =C C =N Ring1 =Branch1
2529,O C C Branch1 Ring1 C O C O C Branch1 =Branch2 C Branch1 C Cl Branch1 C Cl Cl O C Ring1 N
7568,C N+1 Branch1 C C Branch1 N C C O C =C C =C C =C Ring1 =Branch1 C C =C C =C C =C Ring1 =Branch1
2378,O =C Branch1 P C C N N C =Branch1 C =O C =C C =N C =C Ring1 =Branch1 N C C =C C =C C =C Ring1 =Branch1
1358,C C Branch1 C C S C@@H1 C@H1 Branch2 Ring1 C N C =Branch1 C =O C@H1 Branch1 C N C =C C C =C C Ring1 =Branch1 C =Branch1 C =O N Ring1 S C@H1 Ring2 Ring1 Ring2 C =Branch1 C =O O
5523,C C@ Branch1 C N Branch1 =N C C =C C =C Branch1 C O C =C Ring1 #Branch1 C =Branch1 C =O O
7277,C N Branch2 =Branch1 Branch1 C C N Branch1 C C C N C =Branch1 C =O C =C Branch1 C O C@H1 Branch1 =Branch1 N Branch1 C C C C@@H1 C C@H1 C =Branch1 #C =C Branch1 C O C@ Ring1 #Branch1 Branch1 C O C Ring1 S =O C =Branch1 C =O C =C Branch1 C O C =C C =C Ring1 #Branch1 C@@ Ring2 Ring1 C Branch1 C C O C N C =Branch1 C =O C =C Branch1 C O C@@H1 Branch1 =Branch1 N Branch1 C C C C@H1 C C@H1 C =Branch1 #C =C Branch1 C O C@@ Ring1 #Branch1 Branch1 C O C Ring1 S =O C =Branch1 C =O C =C Branch1 C O C =C C =C Ring1 #Branch1 C@@ Ring2 Ring1 C Branch1 C C O
1381,C C =C Branch1 =Branch1 C =Branch1 C =O O N C =Branch1 C =O C@@H1 Branch2 Ring1 Branch2 N C =Branch1 C =O C@H1 Branch1 C N C =C C =C Branch1 C O C Branch1 C Cl =C Ring1 Branch2 C@H1 Ring2 Ring1 C S C Ring2 Ring1 =Branch2
1665,C C C@@H1 Branch1 C O C Branch1 O C C@@H1 Branch1 C C N Branch1 C C C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1
4375,C C C C =Branch1 C =O O C Branch1 #Branch1 C =Branch1 C =O C O C C C C C C C =C C =Branch1 C =O C C C Ring1 #Branch1 Branch1 C C C Ring1 N C Branch1 C O C C Ring1 P Ring2 Ring1 Branch2 C
6489,C O C@@H1 C@@H1 Branch1 #Branch1 O C Branch1 C C =O C C =Branch1 C =O O C@@H1 Branch1 C C C /C =C /C =C \C@H1 Branch1 C O C@H1 Branch1 C C C C@H1 Branch1 Ring2 C C =O C@H1 Ring2 Ring1 O O C@@H1 O C@H1 Branch1 C C C@H1 Branch2 Ring1 S O C@@H1 C C@@ Branch1 C C Branch1 C O C@@H1 Branch1 N O C =Branch1 C =O C C Branch1 C C C C@@H1 Branch1 C C O Ring1 S C@@H1 Branch1 =Branch1 N Branch1 C C C C@H1 Ring2 Ring1 O O
2241,Cl C =C C =C C =Branch1 Ring2 =C Ring1 =Branch1 /C =Branch1 =C =C /C C N C C C Ring1 =Branch1 C C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1 S Ring2 Ring1 Ring2
4023,C C@ Branch1 C O Branch2 Ring1 =C C N C =Branch1 C =O C =Branch1 C =O N C =C C =C C Branch1 =Branch2 C Branch1 C F Branch1 C F F =C Ring1 #Branch2 C =C C =C C =C C =C Ring1 =Branch1 O Ring1 =Branch2
5330,C C =C Branch1 O O C C Branch1 C F Branch1 C F F C =C N =C Ring1 N C S+1 Branch1 C O-1 C =N C =C C =C C =C Ring1 =Branch1 NH1 Ring1 =Branch2
3495,C C@@H1 Branch1 #Branch1 C N Branch1 C C C C N C =C C =C C =C Ring1 =Branch1 S C =C C =C Branch1 Ring1 C #N C =C Ring1 Branch2 Ring1 S
7096,C C C C C N C@ C =C C =Branch1 C =O C@H1 O C =C Branch1 C O C =C C =C Ring1 #Branch1 C@@ Ring1 #Branch2 Ring1 #C C C N Branch1 C C C@@H1 Ring2 Ring1 Ring2 C Ring1 =Branch2
7053,C C C =Branch1 C =O O C C =Branch1 C =O C@@ Branch1 Branch2 O C =Branch1 C =O C C C@H1 Branch1 C C C C@H1 C@@H1 C@H1 Branch1 N C@H1 Branch1 C O C C@ Ring1 #Branch1 Ring1 S C C@ Branch1 C C C =C C =Branch1 C =O C =C Ring1 Branch2 C C@H1 Ring1 P Cl
4665,C C Branch1 C C Branch2 Branch1 Branch2 O N =C Branch2 Ring2 Branch2 C =Branch1 C =O N C C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 #Branch2 C N+1 =C C =C C =C Ring1 =Branch1 C S C Ring2 Ring1 Ring1 Ring1 S C =C S C Branch1 C N =N Ring1 =Branch1 C =Branch1 C =O O
2137,C C@ C C C =Branch1 C =O C =C Ring1 #Branch1 C C C@@H1 C@@H1 Ring1 O C@@H1 Branch1 C O C C@ Branch1 Ring1 C =O C@@H1 Branch1 #Branch1 C =Branch1 C =O C O C C C@@H1 Ring1 S Ring1 O
698,C C O C =Branch1 C =O C =C C =C Branch1 C N C =C Ring1 #Branch1
6374,C N Branch2 Ring1 =Branch1 C C =C N =C N =C Branch1 C N N =C Branch1 C N C Ring1 Branch2 =N Ring1 N C =C C =C Branch2 Ring1 Branch1 C =Branch1 C =O N C@H1 Branch1 Branch2 C C C =Branch1 C =O O C =Branch1 C =O O C =C Ring2 Ring1 C
123,C N Branch1 C C C C C =C NH1 C =C C =C Branch1 N C C@H1 C O C =Branch1 C =O N Ring1 =Branch1 C =C Ring1 S Ring1 =N
4400,C C C O C =Branch1 C =O N C C N Branch2 Ring1 Ring2 C =Branch1 C =O C C =C C =C Branch1 C Cl C Branch1 C Cl =C Ring1 Branch2 C Branch1 =Branch2 C N C C C C Ring1 Branch1 C Ring2 Ring1 #Branch1
7673,O =C C C C@ Branch1 C O C@H1 C C =C C =C Branch1 C O C =C Ring1 #Branch1 C@ Ring1 N Branch1 N C C N Ring1 =N C C C C Ring1 Ring1 C@@H1 Ring2 Ring1 #Branch1 O Ring1 N
2821,C C Branch1 C C N C C@H1 Branch1 C O C O C =C C =C C =C C =C C =C Ring1 #Branch2 Ring1 =Branch1
7446,C O C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O C =C Branch1 C O C =C Branch1 N C Branch1 C O =C Ring1 Branch2 C Ring1 =N =O C C@ Branch1 C O Branch1 #Branch1 C =Branch1 C =O C O C C@H1 Ring1 S O C@H1 C C@H1 Branch1 C N C@H1 Branch1 C O C@H1 Branch1 C C O Ring1 =Branch2
